"identifiant";"titre";"genre";"pays";"entrees";"titre_fr";"reboot"
19838;"Pat et Mat en hiver";"Animation";"Rép. Tchèque";99283;TRUE;FALSE
19514;"Perdrix";"Comédie";"France";143672;TRUE;FALSE
19501;"Persona non grata";"Thriller";"France";49509;TRUE;FALSE
18987;"Piranhas (2019)";"Drame";"Italie";39007;FALSE;TRUE
19949;"Pirouette et le sapin de Noël";"Animation";"France";107473;TRUE;FALSE
19805;"Place des Victoires";"Comédie dramatique";"France";62610;TRUE;FALSE
19372;"Playmobil, Le Film";"Animation 3D";"Etats-Unis";362695;FALSE;FALSE
18749;"Pokémon Détective Pikachu";"Aventure - Action";"Etats-Unis";1682046;FALSE;FALSE
19436;"Portrait de la jeune fille en feu";"Drame";"France";297780;TRUE;FALSE
19525;"Premier de la classe";"Comédie";"France";397855;TRUE;FALSE
18789;"Premières Vacances";"Comédie";"France";304560;TRUE;FALSE
19622;"Proxima";"Drame";"France";99188;TRUE;FALSE
18084;"Qu'est-ce qu'on a encore fait au Bon Dieu ?";"Comédie";"France";6711618;TRUE;FALSE
19466;"Quand on crie au loup";"Comédie";"France";29838;TRUE;FALSE
19631;"Queens";"Drame";"Etats-Unis";278427;FALSE;FALSE
18911;"Qui a tué Lady Winsley ?";"Comédie";"Turquie";50283;FALSE;FALSE
19009;"Qui m'aime me suive!";"Comédie dramatique";"France";199662;TRUE;FALSE
17731;"Ralph 2.0 ";"Animation 3D";"Etats-Unis";2339992;FALSE;FALSE
18638;"Rambo: Last Blood";"Aventure - Action";"Etats-Unis";598353;TRUE;FALSE
19014;"Raoul Taburin";"Comédie";"France";177538;TRUE;FALSE
18932;"Rebelles";"Comédie";"France";925503;TRUE;FALSE
18872;"Rendez-vous Chez Les Malawas";"Comédie";"France";611971;TRUE;FALSE
18830;"Retour à Zombieland";"Aventure - Action";"Etats-Unis";582068;FALSE;FALSE
18978;"Retour de flamme";"Romance";"Argentine";47226;FALSE;FALSE
18750;"Rocketman";"Musical";"Etats-Unis";744358;TRUE;FALSE
19562;"Rojo";"Thriller";"Argentine";40096;TRUE;FALSE
19529;"Roubaix, une lumière";"Thriller";"France";380836;TRUE;FALSE
19463;"Roxane";"Comédie";"France";314437;TRUE;FALSE
19002;"Royal Corgi";"Animation 3D";"Belgique";859633;FALSE;FALSE
18699;"Sang froid";"Thriller";"Royaume-Uni";329378;FALSE;FALSE
19540;"Scary Stories";"Horreur";"Etats-Unis";211107;FALSE;FALSE
19019;"Séduis-moi si tu peux !";"Comédie";"Etats-Unis";195447;FALSE;FALSE
19825;"Seules Les Bêtes";"Thriller";"France";108950;TRUE;FALSE
