"identifiant";"titre";"titre_original";"reprise";"genre";"pays";"entrees";"rang"
18836;"Jusqu'ici tout va bien";NA;FALSE;"Comédie dramatique";"France";574039;89
18939;"Just a gigolo";NA;FALSE;"Comédie";"France";276765;134
19615;"Kabir Singh";NA;FALSE;"Aventure - Action";"Inde";2374;379
19320;"Kalank";NA;FALSE;"Drame";"Inde";3852;374
19223;"L'Adieu à la nuit";NA;FALSE;"Drame";"France";260959;139
18952;"L'Ange";"El Angel";FALSE;"Drame";"Argentine";25607;335
19633;"L'Angle Mort";NA;FALSE;"Drame";"France";10835;360
19445;"L'Autre continent";NA;FALSE;"Romance";"France";23507;343
18510;"L'Heure de la sortie";NA;FALSE;"Thriller";"France";66534;264
18841;"L'Incroyable aventure de Bella";"A Dog’s Way Home";FALSE;"Film familial";"Etats-Unis";20175;350
18761;"L'Incroyable histoire du Facteur Cheval";NA;FALSE;"Comédie dramatique";"France";757243;68
18962;"L'Intervention";NA;FALSE;"Aventure - Action";"France";61225;270
19603;"L'Intouchable, Harvey Weinstein";"Untouchable";FALSE;"Documentaire";"Royaume-Uni";33780;313
18684;"L'Oeuvre sans auteur";"Werk ohne Autor ";FALSE;"Drame";"Allemagne";141179;186
18823;"L'Ordre des médecins";NA;FALSE;"Drame";"France";88976;240
19407;"La Belle époque";NA;FALSE;"Comédie dramatique";"France";1241306;41
19076;"La Cabane aux oiseaux";NA;FALSE;"Animation";"France";51409;286
18894;"La Chute de l’Empire américain";"The Fall of the American Empire";FALSE;"Comédie dramatique";"Canada";189495;167
19135;"La Chute du président";"Angel has Fallen";FALSE;"Aventure - Action";"Etats-Unis";395839;108
19563;"La Cité de la peur (Rep. 2019)";NA;TRUE;"Comédie";"France";25199;339
19807;"La Cordillère des songes";"The Cordillera of Dreams";FALSE;"Documentaire";"Chili";55376;282
18835;"La Dernière folie de Claire Darling";NA;FALSE;"Comédie dramatique";"France";85051;242
19707;"La Fameuse invasion des ours en Sicile";NA;FALSE;"Animation";"France";233267;144
19286;"La Famille Addams (2019)";"The Addams Family (2019)";FALSE;"Animation 3D";"Etats-Unis";1161156;44
18508;"La Favorite";"The Favourite";FALSE;"Comédie dramatique";"Etats-Unis";484086;97
19498;"La Femme de mon frère";"La Femme de mon frère ";FALSE;"Comédie";"Canada";151172;182
19345;"La Flor";NA;FALSE;"Romance";"Argentine";34778;310
18362;"La Grande Aventure Lego 2";"The LEGO Movie 2";FALSE;"Animation 3D";"Etats-Unis";501024;95
19759;"La Grande cavale";"Marnies Welt ";FALSE;"Animation";"Allemagne";80907;249
18781;"La Liste de Schindler (Rep. 2019)";"Schindler's List (Rep. 2018)";TRUE;"Drame";"Etats-Unis";6530;366
19013;"La Lutte des classes";NA;FALSE;"Comédie";"France";445798;102
18977;"La Malédiction de la Dame blanche";"The Curse of La Llorona";FALSE;"Horreur";"Etats-Unis";805476;65
18634;"La Mule";"The Mule";FALSE;"Thriller";"Etats-Unis";1849004;26
19313;"La Petite fabrique de nuages";NA;FALSE;"Animation";"Mexique";51211;287
19343;"La Princesse des glaces, le monde des miroirs magiques";"Snezhnaya koroleva. Zazerkale ";FALSE;"Animation";"Russie";69347;257
17530;"La Reine des neiges 2";"Frozen II";FALSE;"Animation 3D";"Etats-Unis";7253987;2
20035;"La Sainte Famille";NA;FALSE;"Comédie dramatique";"France";40354;301
19503;"La Source (2019)";NA;FALSE;"Comédie";"France";67864;259
19718;"La Vérité (2019)";NA;FALSE;"Drame";"France";348888;117
18650;"La Vérité si je mens : les débuts";NA;FALSE;"Comédie";"France";193815;166
19953;"La Vie invisible d'Eurídice Gusmão";"A Vida Invisível de Eurídice Gusmão ";FALSE;"Drame";"Brésil";69047;258
19578;"La Vie scolaire";NA;FALSE;"Comédie dramatique";"France";1808920;27
17875;"La Voix du pardon";"I Can Only Imagine";FALSE;"Film familial";"Etats-Unis";28358;325
19689;"Last Christmas";NA;FALSE;"Romance";"Royaume-Uni";291294;132
19370;"Late Night";NA;FALSE;"Comédie dramatique";"Etats-Unis";116542;203
19937;"Le Bel Eté";NA;FALSE;"Drame";"France";4999;368
19449;"Le Chant de la forêt";"Chuva é Cantoria na Aldeia dos Mortos ";FALSE;"Drame";"Brésil";41731;299
18817;"Le Chant du loup";NA;FALSE;"Drame";"France";1546837;32
18831;"Le Chardonneret";"The Goldfinch";FALSE;"Drame";"Etats-Unis";36088;308
18924;"Le Château de Cagliostro";"Rupan sansei: Kariosutoro no shiro";FALSE;"Animation";"Japon";8870;363
19074;"Le Cochon, le renard et le moulin";"Pig: The Dam Keeper Poems";FALSE;"Animation";"Etats-Unis";26873;333
19015;"Le Coup du siècle (2019)";"The Hustle";FALSE;"Comédie";"Etats-Unis";353750;116
19925;"Le Cristal magique";"Latte Igel und der magische Wasserstein ";FALSE;"Animation";"Allemagne";276018;135
19285;"Le Daim";NA;FALSE;"Comédie";"France";213649;155
18873;"Le Dindon (2019)";NA;FALSE;"Comédie";"France";241530;143
19440;"Le Gangster, le flic & l'assassin";"Akinjeon ";FALSE;"Thriller";"Corée du Sud";89523;238
19406;"Le Jeune Ahmed";NA;FALSE;"Drame";"Belgique";152036;180
19858;"Le Lac aux oies sauvages";"The Wild Goose Lake";FALSE;"Thriller";"Chine";200454;160
19199;"Le Mans 66";"Ford v. Ferrari";FALSE;"Drame";"Etats-Unis";1136405;45
19700;"Le Meilleur reste à venir";NA;FALSE;"Comédie dramatique";"France";915578;57
19604;"Le Mystère des pingouins";"Penguin Highway";FALSE;"Animation";"Japon";51865;285
18899;"Le Mystère Henri Pick";NA;FALSE;"Comédie";"France";885342;59
18698;"Le Parc des merveilles";"Wonder Park";FALSE;"Animation 3D";"Etats-Unis";1412150;36
